date,deceased,recovered,confirmed,active,daily
2020-02-21,1,,20,19,20
2020-02-22,2,2,79,75,59
2020-02-23,3,2,150,145,71
2020-02-24,6,1,229,222,79
2020-02-25,10,1,322,311,93
2020-02-26,12,3,445,430,123
2020-02-27,17,45,650,588,205
2020-02-28,21,46,888,821,238
2020-02-29,29,50,1128,1049,240
2020-03-01,34,83,1694,1577,566
2020-03-02,52,149,2036,1835,342
2020-03-03,79,160,2502,2263,466
2020-03-04,107,276,3089,2706,587
2020-03-05,148,414,3858,3296,769
2020-03-06,197,523,4636,3916,778
2020-03-07,233,589,5883,5061,1247
2020-03-08,366,622,7375,6387,1492
2020-03-09,463,724,9172,7985,1797
2020-03-10,631,1004,10149,8514,977
2020-03-11,827,1045,12462,10590,2313
2020-03-12,1016,1258,15113,12839,2651
2020-03-13,1266,1439,17660,14955,2547
2020-03-14,1441,1966,21157,17750,3497
2020-03-15,1809,2335,24747,20603,3590
2020-03-16,2158,2749,27980,23073,3233
2020-03-17,2503,2941,31506,26062,3526
2020-03-18,2978,4025,35713,28710,4207
2020-03-19,3405,4440,41035,33190,5322
2020-03-20,4032,5129,47021,37860,5986
2020-03-21,4825,6072,53578,42681,6557
2020-03-22,5476,7024,59138,46638,5560
2020-03-23,6077,7432,63927,50418,4789
2020-03-24,6820,8326,69176,54030,5249
2020-03-25,7503,9362,74386,57521,5210
2020-03-26,8215,10361,80539,61963,6153
2020-03-27,9134,10950,86498,66414,5959
2020-03-28,10023,12384,92472,70065,5974
2020-03-29,10779,13030,97689,73880,5217
2020-03-30,11591,14620,101739,75528,4050
2020-03-31,12428,15729,105792,77635,4053
2020-04-01,13155,16847,110574,80572,4782
2020-04-02,13915,18278,115242,83049,4668
2020-04-03,14681,19758,119827,85388,4585
2020-04-04,15362,20996,124632,88274,4805
2020-04-05,15887,21815,128948,91246,4316
2020-04-06,16523,22837,132547,93187,3599
2020-04-07,17127,24392,135586,94067,3039
2020-04-08,17669,26491,139422,95262,3836
2020-04-09,18279,28470,143626,96877,4204
2020-04-10,18849,30455,147577,98273,3951
2020-04-11,19468,32534,152271,100269,4694
2020-04-12,19899,34211,156363,102253,4092
2020-04-13,20465,35435,159516,103616,3153
2020-04-14,21067,37130,162488,104291,2972
2020-04-15,21645,38092,165155,105418,2667
2020-04-16,22170,40164,168941,106607,3786
2020-04-17,22745,42727,172434,106962,3493
2020-04-18,23227,44927,175925,107771,3491
2020-04-19,23660,47055,178972,108257,3047
2020-04-20,24114,48877,181228,108237,2256
2020-04-21,24648,51600,183957,107709,2729
2020-04-22,25085,54543,187327,107699,3370
2020-04-23,25549,57576,189973,106848,2646
2020-04-24,25969,60498,192994,106527,3021
2020-04-25,26384,63120,195351,105847,2357
2020-04-26,26644,64928,197675,106103,2324
2020-04-27,26977,66624,199414,105813,1739
2020-04-28,27359,68941,201505,105205,2091
2020-04-29,27682,71252,203591,104657,2086
2020-04-30,27967,75945,205463,101551,1872
2020-05-01,28236,78249,207428,100943,1965
2020-05-02,28710,79914,209328,100704,1900
2020-05-03,28884,81654,210717,100179,1389
2020-05-04,29079,82879,211938,99980,1221
2020-05-05,29315,85231,213013,98467,1075
2020-05-06,29684,93245,214457,91528,1444
2020-05-07,29958,96276,215858,89624,1401
2020-05-08,30201,99023,217185,87961,1327
2020-05-09,30395,103031,218268,84842,1083
2020-05-10,30560,105186,219070,83324,802
2020-05-11,30739,106587,219814,82488,744
2020-05-12,30911,109039,221216,81266,1402
2020-05-13,31106,112541,222104,78457,888
2020-05-14,31368,115288,223096,76440,992
2020-05-15,31610,120205,223885,72070,789
2020-05-16,31763,122810,224760,70187,875
2020-05-17,31908,125176,225435,68351,675
2020-05-18,32007,127326,225886,66553,451
2020-05-19,32169,129401,226699,65129,813
2020-05-20,32330,132282,227364,62752,665
