date,deaths,recovered,confirmed,active,daily
2020-02-24,,2,3,1,3
2020-02-25,,2,9,7,6
2020-02-26,,2,17,15,8
2020-02-27,,2,33,31,16
2020-02-28,,2,54,52,21
2020-02-29,,2,81,79,27
2020-03-01,,2,135,133,54
2020-03-02,,2,192,190,57
2020-03-03,,2,263,261,71
2020-03-04,,2,341,339,78
2020-03-05,,2,532,530,191
2020-03-06,,2,757,755,225
2020-03-07,,2,1080,1078,323
2020-03-08,28,25,1513,1460,433
2020-03-09,35,140,2277,2102,764
2020-03-10,48,188,3258,3022,981
2020-03-11,86,201,4404,4117,1146
2020-03-12,123,200,5876,5553,1472
2020-03-13,141,544,7596,6911,1720
2020-03-14,292,556,9722,8874,2126
2020-03-15,314,575,11451,10562,1729
2020-03-16,496,1086,13939,12357,2488
2020-03-17,590,1160,17637,15887,3698
2020-03-18,765,1210,21677,19702,4040
2020-03-19,993,1542,26166,23631,4489
2020-03-20,1326,2131,31680,28223,5514
2020-03-21,1672,2672,36557,32213,4877
2020-03-22,2136,3140,41182,35906,4625
2020-03-23,2707,3697,48828,42424,7646
2020-03-24,3303,5054,57382,49025,8554
2020-03-25,3918,6326,66327,56083,8945
2020-03-26,4663,8491,75486,62332,9159
2020-03-27,5502,10896,83749,67351,8263
2020-03-28,6217,13219,90159,70723,6410
2020-03-29,6913,14823,95961,74225,5802
2020-03-30,7733,16926,104107,79448,8146
2020-03-31,8662,20023,111541,82856,7434
2020-04-01,9539,23509,119096,86048,7555
2020-04-02,10384,26540,126337,89413,7241
2020-04-03,11164,30173,133017,91680,6680
2020-04-04,11834,33701,138587,93052,5570
2020-04-05,12462,35723,142237,94052,3650
2020-04-06,13219,38620,147510,95671,5273
2020-04-07,13976,43091,153082,96015,5572
2020-04-08,14757,47116,158810,96937,5728
2020-04-09,15399,50860,163416,97157,4606
2020-04-10,15899,54118,168024,98007,4608
2020-04-11,16505,57026,171981,98450,3957
2020-04-12,17056,59165,175141,98920,3160
2020-04-13,17591,61924,178348,98833,3207
2020-04-14,18276,65682,182848,98890,4500
2020-04-15,18893,69461,187919,99565,5071
2020-04-16,19478,72952,192617,100187,4698
2020-04-17,20043,76169,198337,102125,5720
2020-04-18,20453,78893,202693,103347,4356
2020-04-19,20852,80587,206343,104904,3650
2020-04-20,21282,82514,209964,106168,3621
2020-04-21,21717,85915,213700,106068,3736
2020-04-22,22157,89250,218424,107017,4724
2020-04-23,22524,92355,221916,107037,3492
2020-04-24,22902,95708,225820,107210,3904
2020-04-25,23190,98732,228610,106688,2790
2020-04-26,23521,100875,231236,106840,2626
2020-04-27,23822,102548,234156,107786,2920
2020-04-28,24275,108947,237615,104393,3459
2020-04-29,24543,112050,240743,104150,3128
2020-04-30,24824,114678,243991,104489,3248
2020-05-01,25100,117248,246449,104101,2458
2020-05-02,25264,118902,248028,103862,1579
2020-05-03,25428,121343,249120,102349,1092
2020-05-04,25613,123486,251081,101982,1961
2020-05-05,25857,126002,254050,102191,2969
2020-05-06,26070,128511,256855,102274,2805
2020-05-07,26299,131148,260117,102670,3262
2020-05-08,26478,133952,262783,102353,2666
2020-05-09,26621,136166,264670,101883,1887
2020-05-10,26744,137139,268143,104260,3473
2020-05-11,26920,138980,269520,103620,1377
2020-05-12,27104,140823,271095,103168,1575
2020-05-13,27321,143374,272646,101951,1551
2020-05-14,27459,144783,274367,102125,1721
2020-05-15,27563,146446,276505,102496,2138
2020-05-16,27650,149576,277719,100493,1214
2020-05-17,27709,150376,278188,100103,469
2020-05-18,27778,150376,278803,100649,615
2020-05-19,27888,150376,279524,101260,721
